,일자|시간|구분,공급량
281,2019-01-12 18 A,2369.856186655307
282,2019-01-12 19 A,2656.7352296925983
283,2019-01-12 20 A,2643.2012501064764
284,2019-01-12 21 A,2540.847214360916
285,2019-01-12 22 A,2392.1189295867166
286,2019-01-12 23 A,2300.6007171653
287,2019-01-12 24 A,2190.7493996181674
288,2019-01-13 01 A,1963.3329028088235
289,2019-01-13 02 A,1723.505148881476
290,2019-01-13 03 A,1722.754667503223
291,2019-01-13 04 A,1716.3416852394248
292,2019-01-13 05 A,1957.8866583734864
293,2019-01-13 06 A,2107.526204140008
294,2019-01-13 07 A,2097.6479889083625
295,2019-01-13 08 A,2422.198627800929
296,2019-01-13 09 A,2534.3087233155547
297,2019-01-13 10 A,2505.0636615675094
298,2019-01-13 11 A,2487.982130355236
299,2019-01-13 12 A,2309.567830798776
300,2019-01-13 13 A,2164.975312056206
301,2019-01-13 14 A,2087.5479885672225
302,2019-01-13 15 A,2024.6663457183167
303,2019-01-13 16 A,1956.5126795167637
304,2019-01-13 17 A,2008.2908905623767
305,2019-01-13 18 A,2304.555761982225
306,2019-01-13 19 A,2609.754117072576
307,2019-01-13 20 A,2644.827582483644
308,2019-01-13 21 A,2508.1915376038974
309,2019-01-13 22 A,2400.2516867774552
310,2019-01-13 23 A,2260.339424235791
311,2019-01-13 24 A,2103.928662936993
312,2019-01-14 01 A,1853.751893472128
313,2019-01-14 02 A,1632.1791826581066
314,2019-01-14 03 A,1578.343541714883
315,2019-01-14 04 A,1574.404361269822
316,2019-01-14 05 A,1806.7836569817937
317,2019-01-14 06 A,2057.833556307989
318,2019-01-14 07 A,2386.0741305007077
319,2019-01-14 08 A,2861.5886094243747
320,2019-01-14 09 A,2976.340933484542
321,2019-01-14 10 A,2886.9894694031937
322,2019-01-14 11 A,2792.194959561493
323,2019-01-14 12 A,2581.188525279993
324,2019-01-14 13 A,2453.3345905910933
325,2019-01-14 14 A,2300.87954811488
326,2019-01-14 15 A,2166.6149710969826
327,2019-01-14 16 A,2093.874493428945
328,2019-01-14 17 A,2159.458314655763
329,2019-01-14 18 A,2455.1274624233683
330,2019-01-14 19 A,2747.8483503726043
331,2019-01-14 20 A,2815.391906019885
332,2019-01-14 21 A,2612.411710969465
333,2019-01-14 22 A,2580.6124735872177
334,2019-01-14 23 A,2390.158677089187
335,2019-01-14 24 A,2222.775798699069
336,2019-01-15 01 A,1993.6046631964773
337,2019-01-15 02 A,1777.405373063419
338,2019-01-15 03 A,1672.1406891455244
339,2019-01-15 04 A,1671.2133488000177
340,2019-01-15 05 A,1892.480999059339
341,2019-01-15 06 A,2002.5243975171848
342,2019-01-15 07 A,2320.379021248976
343,2019-01-15 08 A,2766.4187306921453
344,2019-01-15 09 A,2927.5229186213023
345,2019-01-15 10 A,2815.9187814443767
346,2019-01-15 11 A,2693.84156607408
347,2019-01-15 12 A,2511.5157868826386
348,2019-01-15 13 A,2370.887451009389
349,2019-01-15 14 A,2204.568024007841
350,2019-01-15 15 A,2081.757775917278
351,2019-01-15 16 A,1946.493720446892
352,2019-01-15 17 A,2009.0050904111483
353,2019-01-15 18 A,2291.104972254842
354,2019-01-15 19 A,2655.6569053968915
355,2019-01-15 20 A,2672.8629873403734
356,2019-01-15 21 A,2636.190075828856
357,2019-01-15 22 A,2605.911334997482
358,2019-01-15 23 A,2538.790824894365
359,2019-01-15 24 A,2357.344319540415
360,2019-01-16 01 A,1966.6175417823608
361,2019-01-16 02 A,1772.3657232761511
362,2019-01-16 03 A,1621.1438150945437
363,2019-01-16 04 A,1613.6472842527985
364,2019-01-16 05 A,1828.3832251518904
365,2019-01-16 06 A,1983.035415791535
366,2019-01-16 07 A,2267.079691703916
367,2019-01-16 08 A,2721.375930687511
368,2019-01-16 09 A,2855.6016096539897
369,2019-01-16 10 A,2692.577672392604
370,2019-01-16 11 A,2576.691198929731
371,2019-01-16 12 A,2405.564671543
372,2019-01-16 13 A,2205.5389946832565
373,2019-01-16 14 A,2051.0651828953664
374,2019-01-16 15 A,1927.5056285484277
375,2019-01-16 16 A,1832.4108959152272
376,2019-01-16 17 A,1901.7258773677129
377,2019-01-16 18 A,2135.9744728026494
378,2019-01-16 19 A,2448.754926304826
379,2019-01-16 20 A,2566.5017601655395
380,2019-01-16 21 A,2519.034508987742
381,2019-01-16 22 A,2441.896747675212
382,2019-01-16 23 A,2368.5762209179056
383,2019-01-16 24 A,2214.5144780518967
384,2019-01-17 01 A,1887.7673550790607
385,2019-01-17 02 A,1642.6621413068535
386,2019-01-17 03 A,1580.867250511791
387,2019-01-17 04 A,1537.3604144926994
388,2019-01-17 05 A,1790.7383194322276
389,2019-01-17 06 A,1945.441902219789
390,2019-01-17 07 A,2240.505756506548
391,2019-01-17 08 A,2656.903251027606
392,2019-01-17 09 A,2848.659576116988
393,2019-01-17 10 A,2705.195532945465
394,2019-01-17 11 A,2602.670263511156
395,2019-01-17 12 A,2379.7518143989064
396,2019-01-17 13 A,2208.5542542193307
397,2019-01-17 14 A,2043.6452294924327
398,2019-01-17 15 A,1916.548000244693
399,2019-01-17 16 A,1830.6001616663636
400,2019-01-17 17 A,1930.259713760995
401,2019-01-17 18 A,2187.9572397601246
402,2019-01-17 19 A,2522.437987648489
403,2019-01-17 20 A,2569.1160744326053
404,2019-01-17 21 A,2505.2491792296705
405,2019-01-17 22 A,2478.344144670107
406,2019-01-17 23 A,2378.5205879805503
407,2019-01-17 24 A,2227.253151110824
408,2019-01-18 01 A,1961.6574359527945
409,2019-01-18 02 A,1707.2089960647552
410,2019-01-18 03 A,1597.1744610047206
411,2019-01-18 04 A,1610.4266511025603
412,2019-01-18 05 A,1770.5340287964273
413,2019-01-18 06 A,1970.368776709667
414,2019-01-18 07 A,2263.208168219317
415,2019-01-18 08 A,2741.687506371913
416,2019-01-18 09 A,2864.599735660034
417,2019-01-18 10 A,2778.507706255902
418,2019-01-18 11 A,2727.4933902554767
419,2019-01-18 12 A,2506.555481097221
420,2019-01-18 13 A,2377.697758897969
421,2019-01-18 14 A,2209.891732338061
422,2019-01-18 15 A,2082.88195752718
423,2019-01-18 16 A,2015.762836161702
424,2019-01-18 17 A,2122.2073247082985
425,2019-01-18 18 A,2298.0366540607934
426,2019-01-18 19 A,2700.588805708352
427,2019-01-18 20 A,2729.662157055337
428,2019-01-18 21 A,2620.784929469077
429,2019-01-18 22 A,2549.9227190489555
430,2019-01-18 23 A,2415.3815516313834
431,2019-01-18 24 A,2240.227154896521
432,2019-01-19 01 A,2057.894445404964
433,2019-01-19 02 A,1851.226321451524
434,2019-01-19 03 A,1661.7069047200391
435,2019-01-19 04 A,1685.0695475925183
436,2019-01-19 05 A,1829.6106770096533
437,2019-01-19 06 A,1907.1175188702296
438,2019-01-19 07 A,1981.3929199157924
439,2019-01-19 08 A,2365.3913905679824
440,2019-01-19 09 A,2597.859364942523
441,2019-01-19 10 A,2661.147497373929
442,2019-01-19 11 A,2622.9251190619398
443,2019-01-19 12 A,2380.0975544557577
444,2019-01-19 13 A,2260.7357079791905
445,2019-01-19 14 A,2025.6648543382128
446,2019-01-19 15 A,1912.8952828865963
447,2019-01-19 16 A,1839.6178974224815
448,2019-01-19 17 A,1952.0955790529677
449,2019-01-19 18 A,2248.168143573774
450,2019-01-19 19 A,2541.448411709879
451,2019-01-19 20 A,2606.088491232922
452,2019-01-19 21 A,2431.917804437089
453,2019-01-19 22 A,2361.283732691031
454,2019-01-19 23 A,2217.9436690746143
455,2019-01-19 24 A,2071.5663281115903
456,2019-01-20 01 A,1993.9547117090144
457,2019-01-20 02 A,1781.5708290966345
458,2019-01-20 03 A,1648.4826564166456
459,2019-01-20 04 A,1678.81149550706
460,2019-01-20 05 A,1817.704949663089
461,2019-01-20 06 A,1835.3664823663369
462,2019-01-20 07 A,1901.42678829983
463,2019-01-20 08 A,2211.418892037102
464,2019-01-20 09 A,2379.3256163587384
465,2019-01-20 10 A,2507.167719595484
466,2019-01-20 11 A,2458.955165023489
467,2019-01-20 12 A,2293.06017308158
468,2019-01-20 13 A,2211.7012127671733
469,2019-01-20 14 A,1994.48903847312
470,2019-01-20 15 A,1921.317253459081
471,2019-01-20 16 A,1875.656686530849
472,2019-01-20 17 A,1983.5068643529248
473,2019-01-20 18 A,2185.153107452172
474,2019-01-20 19 A,2541.2785884978566
475,2019-01-20 20 A,2620.1598080295066
476,2019-01-20 21 A,2487.8462938951334
477,2019-01-20 22 A,2398.37929628183
478,2019-01-20 23 A,2272.9762180766006
479,2019-01-20 24 A,2127.543104671414
480,2019-01-21 01 A,1886.046909024442
481,2019-01-21 02 A,1674.2114545303984
482,2019-01-21 03 A,1599.8537809439465
483,2019-01-21 04 A,1622.926678631923
484,2019-01-21 05 A,1794.6685421959337
485,2019-01-21 06 A,1999.027368818237
486,2019-01-21 07 A,2302.1274171274054
487,2019-01-21 08 A,2855.7661053888824
488,2019-01-21 09 A,2978.3633778920275
489,2019-01-21 10 A,2836.0875053123336
490,2019-01-21 11 A,2776.3239072444094
491,2019-01-21 12 A,2609.57620657586
492,2019-01-21 13 A,2438.702289892461
493,2019-01-21 14 A,2274.5043979436105
494,2019-01-21 15 A,2148.1179210283003
495,2019-01-21 16 A,2052.443155380343
496,2019-01-21 17 A,2141.192648540313
497,2019-01-21 18 A,2371.553622604668
498,2019-01-21 19 A,2718.7596575428224
499,2019-01-21 20 A,2774.2880037545165
500,2019-01-21 21 A,2633.958500266052
501,2019-01-21 22 A,2573.22715280735
502,2019-01-21 23 A,2445.623724740505
503,2019-01-21 24 A,2331.646496177258
504,2019-01-22 01 A,1964.448907569025
505,2019-01-22 02 A,1716.9870210513564
506,2019-01-22 03 A,1609.6953123323565
507,2019-01-22 04 A,1632.653876980796
508,2019-01-22 05 A,1817.5866335626083
509,2019-01-22 06 A,2020.9104287350085
510,2019-01-22 07 A,2323.048665952824
511,2019-01-22 08 A,2720.981915212341
512,2019-01-22 09 A,2960.2038904113697
513,2019-01-22 10 A,2841.512823364133
514,2019-01-22 11 A,2736.957268234207
515,2019-01-22 12 A,2520.292464877424
516,2019-01-22 13 A,2289.0197152124097
517,2019-01-22 14 A,2176.980659914128
518,2019-01-22 15 A,2094.066156987147
519,2019-01-22 16 A,2019.3391884489372
520,2019-01-22 17 A,2054.793104465413
521,2019-01-22 18 A,2346.629524082503
522,2019-01-22 19 A,2680.3928262749914
523,2019-01-22 20 A,2811.9510819450466
524,2019-01-22 21 A,2732.6484528891
525,2019-01-22 22 A,2650.6836019055045
526,2019-01-22 23 A,2530.678334623496
527,2019-01-22 24 A,2387.6349307703304
528,2019-01-23 01 A,2167.818708650949
529,2019-01-23 02 A,1862.7611418260085
530,2019-01-23 03 A,1774.7816968721531
531,2019-01-23 04 A,1789.242158349467
532,2019-01-23 05 A,2015.1129196625336
533,2019-01-23 06 A,2199.8053837533894
534,2019-01-23 07 A,2498.3196025102425
535,2019-01-23 08 A,2930.149049461095
536,2019-01-23 09 A,3125.179024259698
537,2019-01-23 10 A,2978.1402293505366
538,2019-01-23 11 A,2901.015692325452
539,2019-01-23 12 A,2708.0621683733616
540,2019-01-23 13 A,2631.0689002977715
541,2019-01-23 14 A,2444.3553606241494
542,2019-01-23 15 A,2304.0877280055765
543,2019-01-23 16 A,2285.4549517948667
544,2019-01-23 17 A,2364.4074867889285
545,2019-01-23 18 A,2588.091845406401
546,2019-01-23 19 A,2911.602464016609
547,2019-01-23 20 A,2914.951562022108
548,2019-01-23 21 A,2834.8060647644143
549,2019-01-23 22 A,2802.5497828419607
550,2019-01-23 23 A,2696.680801809174
551,2019-01-23 24 A,2461.661675404789
552,2019-01-24 01 A,2316.144951470749
553,2019-01-24 02 A,1921.957949292699
554,2019-01-24 03 A,1818.5077821768452
555,2019-01-24 04 A,1838.0474612661228
556,2019-01-24 05 A,2055.2159892933323
557,2019-01-24 06 A,2264.966662477931
558,2019-01-24 07 A,2582.598570419409
559,2019-01-24 08 A,3011.3270114095512
560,2019-01-24 09 A,3175.4414126577685
561,2019-01-24 10 A,2993.686468671105
562,2019-01-24 11 A,2902.1018653777464
563,2019-01-24 12 A,2753.0048795910816
564,2019-01-24 13 A,2532.852049415309
565,2019-01-24 14 A,2413.595922017089
566,2019-01-24 15 A,2283.203370071344
567,2019-01-24 16 A,2230.786114969592
568,2019-01-24 17 A,2294.677354667929
569,2019-01-24 18 A,2510.4156934914704
570,2019-01-24 19 A,2864.9088645495835
571,2019-01-24 20 A,2913.148536370659
572,2019-01-24 21 A,2908.919051953905
573,2019-01-24 22 A,2836.7312299928512
574,2019-01-24 23 A,2699.781674802176
575,2019-01-24 24 A,2546.1440418890297
576,2019-01-25 01 A,2351.2026822059315
577,2019-01-25 02 A,1918.9011737028015
578,2019-01-25 03 A,1807.07790417486
579,2019-01-25 04 A,1819.063060968473
580,2019-01-25 05 A,2063.2230197241483
581,2019-01-25 06 A,2306.170162808666
582,2019-01-25 07 A,2519.0935761910137
583,2019-01-25 08 A,3043.6676362333114
584,2019-01-25 09 A,3137.033458849853
585,2019-01-25 10 A,2899.1424981136624
586,2019-01-25 11 A,2736.6175317048187
587,2019-01-25 12 A,2571.5081588549147
588,2019-01-25 13 A,2562.424808247175
589,2019-01-25 14 A,2424.5166243844023
590,2019-01-25 15 A,2310.8812480728293
591,2019-01-25 16 A,2240.7241749575373
592,2019-01-25 17 A,2330.663218045277
593,2019-01-25 18 A,2490.435785642669
594,2019-01-25 19 A,2752.7236243746365
595,2019-01-25 20 A,2774.253540763015
596,2019-01-25 21 A,2715.5842557332235
597,2019-01-25 22 A,2710.4296557773123
598,2019-01-25 23 A,2573.395583672005
599,2019-01-25 24 A,2351.207983542171
600,2019-01-26 01 A,2201.629360190007
601,2019-01-26 02 A,1974.3152126984628
602,2019-01-26 03 A,1823.9325231346704
603,2019-01-26 04 A,1842.2343849390777
604,2019-01-26 05 A,1980.5330024955952
605,2019-01-26 06 A,2098.3237331022924
606,2019-01-26 07 A,2167.067451168788
607,2019-01-26 08 A,2506.7637930337687
608,2019-01-26 09 A,2747.70114770538
609,2019-01-26 10 A,2756.9596712885973
610,2019-01-26 11 A,2682.9308038900617
611,2019-01-26 12 A,2540.6336098807587
612,2019-01-26 13 A,2391.4250241179616
613,2019-01-26 14 A,2104.457219988898
614,2019-01-26 15 A,2016.5207925925151
615,2019-01-26 16 A,1928.333883431952
616,2019-01-26 17 A,2021.5847282809125
617,2019-01-26 18 A,2341.483092464296
618,2019-01-26 19 A,2645.2448891343683
619,2019-01-26 20 A,2627.772937910634
620,2019-01-26 21 A,2523.172299651831
621,2019-01-26 22 A,2474.247875722176
622,2019-01-26 23 A,2390.624060758187
623,2019-01-26 24 A,2214.18752149594
624,2019-01-27 01 A,2055.041805342728
625,2019-01-27 02 A,1845.4714656072135
626,2019-01-27 03 A,1729.728001250994
627,2019-01-27 04 A,1749.789492606368
628,2019-01-27 05 A,2015.968138181035
629,2019-01-27 06 A,2145.1185278145576
630,2019-01-27 07 A,2075.92930485568
631,2019-01-27 08 A,2379.260283656681
632,2019-01-27 09 A,2525.7515803817264
633,2019-01-27 10 A,2596.707526683954
634,2019-01-27 11 A,2491.82257987538
635,2019-01-27 12 A,2376.5226786348458
636,2019-01-27 13 A,2280.3892738084296
637,2019-01-27 14 A,2097.5411648696586
638,2019-01-27 15 A,2056.4836827744293
639,2019-01-27 16 A,1968.2410830469855
640,2019-01-27 17 A,2115.2330817768498
641,2019-01-27 18 A,2374.109359212713
642,2019-01-27 19 A,2640.4058483502586
643,2019-01-27 20 A,2606.0667366696966
644,2019-01-27 21 A,2546.987184792409
645,2019-01-27 22 A,2492.148648983872
646,2019-01-27 23 A,2357.3015099789445
647,2019-01-27 24 A,2201.986439073439
648,2019-01-28 01 A,1856.2450902694789
